Record Index,Status,JumpTo,Cycle,Step,Cur(mA),Voltage(V),CapaCity(mAh),Energy(Wh),Relative Time(h:min:s.ms),Absolute Time
1,CC_DChg,1,1,1,-0.0536,1.8939,0.0000,0.0000000,0:00:00.000,11/19/2018 11:30:46
2,CC_DChg,1,1,1,-0.0540,1.0757,0.0150,0.0000182,0:16:40.000,11/19/2018 11:47:26
3,CC_DChg,1,1,1,-0.0540,0.9114,0.0300,0.0000332,0:33:20.000,11/19/2018 12:04:06
4,CC_DChg,1,1,1,-0.0540,0.7719,0.0450,0.0000457,0:50:00.000,11/19/2018 12:20:46
5,CC_DChg,1,1,1,-0.0540,0.6882,0.0600,0.0000566,1:06:40.000,11/19/2018 12:37:26
6,CC_DChg,1,1,1,-0.0540,0.6234,0.0750,0.0000665,1:23:20.000,11/19/2018 12:54:06
7,CC_DChg,1,1,1,-0.0540,0.5567,0.0900,0.0000753,1:40:00.000,11/19/2018 13:10:46
8,CC_DChg,1,1,1,-0.0540,0.4988,0.1050,0.0000832,1:56:40.000,11/19/2018 13:27:26
9,CC_DChg,1,1,1,-0.0540,0.4498,0.1200,0.0000903,2:13:20.000,11/19/2018 13:44:06
10,CC_DChg,1,1,1,-0.0540,0.4076,0.1350,0.0000967,2:30:00.000,11/19/2018 14:00:46
11,CC_DChg,1,1,1,-0.0540,0.3714,0.1500,0.0001026,2:46:40.000,11/19/2018 14:17:26
12,CC_DChg,1,1,1,-0.0540,0.3397,0.1650,0.0001079,3:03:20.000,11/19/2018 14:34:06
13,CC_DChg,1,1,1,-0.0540,0.3112,0.1800,0.0001128,3:20:00.000,11/19/2018 14:50:46
14,CC_DChg,1,1,1,-0.0540,0.2861,0.1950,0.0001173,3:36:40.000,11/19/2018 15:07:26
15,CC_DChg,1,1,1,-0.0540,0.2638,0.2100,0.0001214,3:53:20.000,11/19/2018 15:24:06
16,CC_DChg,1,1,1,-0.0540,0.2439,0.2250,0.0001252,4:10:00.000,11/19/2018 15:40:46
17,CC_DChg,1,1,1,-0.0540,0.2260,0.2400,0.0001287,4:26:40.000,11/19/2018 15:57:26
18,CC_DChg,1,1,1,-0.0540,0.2108,0.2550,0.0001320,4:43:20.000,11/19/2018 16:14:06
19,CC_DChg,1,1,1,-0.0540,0.2015,0.2700,0.0001351,5:00:00.000,11/19/2018 16:30:46
20,CC_DChg,1,1,1,-0.0540,0.1990,0.2850,0.0001381,5:16:40.000,11/19/2018 16:47:26
21,CC_DChg,1,1,1,-0.0540,0.1971,0.3000,0.0001410,5:33:20.000,11/19/2018 17:04:06
22,CC_DChg,1,1,1,-0.0540,0.1956,0.3150,0.0001440,5:50:00.000,11/19/2018 17:20:46
23,CC_DChg,1,1,1,-0.0540,0.1940,0.3300,0.0001469,6:06:40.000,11/19/2018 17:37:26
24,CC_DChg,1,1,1,-0.0540,0.1915,0.3450,0.0001498,6:23:20.000,11/19/2018 17:54:06
25,CC_DChg,1,1,1,-0.0540,0.1894,0.3600,0.0001526,6:40:00.000,11/19/2018 18:10:46
26,CC_DChg,1,1,1,-0.0540,0.1866,0.3750,0.0001555,6:56:40.000,11/19/2018 18:27:26
27,CC_DChg,1,1,1,-0.0540,0.1829,0.3900,0.0001582,7:13:20.000,11/19/2018 18:44:06
28,CC_DChg,1,1,1,-0.0540,0.1795,0.4050,0.0001609,7:30:00.000,11/19/2018 19:00:46
29,CC_DChg,1,1,1,-0.0540,0.1751,0.4200,0.0001636,7:46:40.000,11/19/2018 19:17:26
30,CC_DChg,1,1,1,-0.0540,0.1708,0.4350,0.0001662,8:03:20.000,11/19/2018 19:34:06
31,CC_DChg,1,1,1,-0.0540,0.1661,0.4500,0.0001687,8:20:00.000,11/19/2018 19:50:46
32,CC_DChg,1,1,1,-0.0540,0.1612,0.4650,0.0001712,8:36:40.000,11/19/2018 20:07:26
33,CC_DChg,1,1,1,-0.0540,0.1568,0.4800,0.0001736,8:53:20.000,11/19/2018 20:24:06
34,CC_DChg,1,1,1,-0.0540,0.1525,0.4950,0.0001759,9:10:00.000,11/19/2018 20:40:46
35,CC_DChg,1,1,1,-0.0540,0.1484,0.5100,0.0001781,9:26:40.000,11/19/2018 20:57:26
36,CC_DChg,1,1,1,-0.0540,0.1444,0.5250,0.0001803,9:43:20.000,11/19/2018 21:14:06
37,CC_DChg,1,1,1,-0.0540,0.1416,0.5400,0.0001825,10:00:00.000,11/19/2018 21:30:46
38,CC_DChg,1,1,1,-0.0540,0.1388,0.5550,0.0001846,10:16:40.000,11/19/2018 21:47:26
39,CC_DChg,1,1,1,-0.0540,0.1354,0.5700,0.0001866,10:33:20.000,11/19/2018 22:04:06
40,CC_DChg,1,1,1,-0.0540,0.1329,0.5850,0.0001887,10:50:00.000,11/19/2018 22:20:46
41,CC_DChg,1,1,1,-0.0540,0.1295,0.6000,0.0001906,11:06:40.000,11/19/2018 22:37:26
42,CC_DChg,1,1,1,-0.0540,0.1267,0.6150,0.0001925,11:23:20.000,11/19/2018 22:54:06
43,CC_DChg,1,1,1,-0.0540,0.1240,0.6300,0.0001944,11:40:00.000,11/19/2018 23:10:46
44,CC_DChg,1,1,1,-0.0540,0.1215,0.6450,0.0001963,11:56:40.000,11/19/2018 23:27:26
45,CC_DChg,1,1,1,-0.0540,0.1193,0.6600,0.0001981,12:13:20.000,11/19/2018 23:44:06
46,CC_DChg,1,1,1,-0.0540,0.1178,0.6750,0.0001998,12:30:00.000,11/20/2018 00:00:46
47,CC_DChg,1,1,1,-0.0540,0.1165,0.6900,0.0002016,12:46:40.000,11/20/2018 00:17:26
48,CC_DChg,1,1,1,-0.0540,0.1156,0.7050,0.0002033,13:03:20.000,11/20/2018 00:34:06
49,CC_DChg,1,1,1,-0.0540,0.1147,0.7200,0.0002051,13:20:00.000,11/20/2018 00:50:46
50,CC_DChg,1,1,1,-0.0540,0.1143,0.7350,0.0002068,13:36:40.000,11/20/2018 01:07:26
51,CC_DChg,1,1,1,-0.0540,0.1137,0.7500,0.0002085,13:53:20.000,11/20/2018 01:24:06
52,CC_DChg,1,1,1,-0.0540,0.1134,0.7650,0.0002102,14:10:00.000,11/20/2018 01:40:46
53,CC_DChg,1,1,1,-0.0540,0.1128,0.7800,0.0002119,14:26:40.000,11/20/2018 01:57:26
54,CC_DChg,1,1,1,-0.0540,0.1128,0.7950,0.0002136,14:43:20.000,11/20/2018 02:14:06
55,CC_DChg,1,1,1,-0.0540,0.1125,0.8100,0.0002153,15:00:00.000,11/20/2018 02:30:46
56,CC_DChg,1,1,1,-0.0540,0.1122,0.8250,0.0002170,15:16:40.000,11/20/2018 02:47:26
57,CC_DChg,1,1,1,-0.0540,0.1119,0.8400,0.0002186,15:33:20.000,11/20/2018 03:04:06
58,CC_DChg,1,1,1,-0.0540,0.1112,0.8550,0.0002203,15:50:00.000,11/20/2018 03:20:46
59,CC_DChg,1,1,1,-0.0540,0.1112,0.8700,0.0002220,16:06:40.000,11/20/2018 03:37:26
60,CC_DChg,1,1,1,-0.0540,0.1109,0.8850,0.0002236,16:23:20.000,11/20/2018 03:54:06
61,CC_DChg,1,1,1,-0.0540,0.1106,0.9000,0.0002253,16:40:00.000,11/20/2018 04:10:46
62,CC_DChg,1,1,1,-0.0540,0.1103,0.9150,0.0002270,16:56:40.000,11/20/2018 04:27:26
63,CC_DChg,1,1,1,-0.0540,0.1097,0.9300,0.0002286,17:13:20.000,11/20/2018 04:44:06
64,CC_DChg,1,1,1,-0.0540,0.1097,0.9450,0.0002303,17:30:00.000,11/20/2018 05:00:46
65,CC_DChg,1,1,1,-0.0540,0.1091,0.9600,0.0002319,17:46:40.000,11/20/2018 05:17:26
66,CC_DChg,1,1,1,-0.0540,0.1088,0.9750,0.0002335,18:03:20.000,11/20/2018 05:34:06
67,CC_DChg,1,1,1,-0.0540,0.1085,0.9900,0.0002352,18:20:00.000,11/20/2018 05:50:46
68,CC_DChg,1,1,1,-0.0540,0.1081,1.0050,0.0002368,18:36:40.000,11/20/2018 06:07:26
69,CC_DChg,1,1,1,-0.0540,0.1078,1.0200,0.0002384,18:53:20.000,11/20/2018 06:24:06
70,CC_DChg,1,1,1,-0.0540,0.1072,1.0350,0.0002400,19:10:00.000,11/20/2018 06:40:46
71,CC_DChg,1,1,1,-0.0540,0.1066,1.0500,0.0002416,19:26:40.000,11/20/2018 06:57:26
72,CC_DChg,1,1,1,-0.0540,0.1060,1.0650,0.0002432,19:43:20.000,11/20/2018 07:14:06
73,CC_DChg,1,1,1,-0.0540,0.1054,1.0800,0.0002448,20:00:00.000,11/20/2018 07:30:46
74,CC_DChg,1,1,1,-0.0540,0.1050,1.0950,0.0002464,20:16:40.000,11/20/2018 07:47:26
75,CC_DChg,1,1,1,-0.0540,0.1044,1.1100,0.0002479,20:33:20.000,11/20/2018 08:04:06
76,CC_DChg,1,1,1,-0.0540,0.1035,1.1250,0.0002495,20:50:00.000,11/20/2018 08:20:46
77,CC_DChg,1,1,1,-0.0540,0.1029,1.1400,0.0002511,21:06:40.000,11/20/2018 08:37:26
78,CC_DChg,1,1,1,-0.0540,0.1019,1.1550,0.0002526,21:23:20.000,11/20/2018 08:54:06
79,CC_DChg,1,1,1,-0.0540,0.1010,1.1700,0.0002541,21:40:00.000,11/20/2018 09:10:46
80,CC_DChg,1,1,1,-0.0540,0.1001,1.1850,0.0002556,21:56:40.000,11/20/2018 09:27:26
81,CC_DChg,1,1,1,-0.0540,0.0985,1.2000,0.0002571,22:13:20.000,11/20/2018 09:44:06
